train_id,arrival_time,departure_time,station,direction,top_speed
BHA1,05:00,08:30,BHAKTI PARK METRO,forward,20.29
BHA1,08:30,12:00,WADALA TT,forward,18.34
BHA1,12:00,15:30,ANIKNAGARBUSDEPOT,forward,33.03
BHA1,15:30,19:00,SIDDHARTHCOLONY,forward,45.00
BHA1,19:00,22:30,GARODIA NAGAR,forward,33.24
BHA1,22:30,26:00,PANT NAGAR,forward,22.96
BHA1,26:00,29:30,LAXMINAGAR,forward,19.06
BHA1,29:30,33:00,SHREYAS CINEMA,forward,14.91
BHA1,33:00,36:30,GODREJ COMPANY,forward,14.19
BHA1,36:30,40:00,VIKHROLI METRO,forward,20.36
BHA1,40:00,43:30,SURYA NAGAR,forward,19.47
BHA1,43:30,47:00,GANDHINGAR,forward,14.94
BHA1,47:00,50:30,NAVAL HOUSING,forward,14.90
BHA1,50:30,54:00,BHANDUP MAHAPALIKA,forward,20.80
BHA1,54:00,57:30,BHANDUP METRO,forward,15.95
BHA1,57:30,61:00,SHANGRILLA,forward,29.09
BHA1,61:00,64:30,SONAPUR,forward,22.49
BHA1,64:30,68:00,MULUND FIRE STATION,forward,26.80
BHA1,68:00,71:30,MULUND NAKA,forward,24.24
BHA1,71:30,75:00,TEEN HAATH NAKA,forward,15.69
BHA1,75:00,78:30,RTO THANE,forward,19.30
BHA1,78:30,82:00,MAHAPALIKAMARG,forward,15.92
BHA1,82:00,85:30,CADBUARY JUNCTION,forward,16.49
BHA1,85:30,89:00,MAJIWADA,forward,28.91
BHA1,89:00,92:30,KAPURBAWDI,forward,16.32
BHA1,92:30,96:00,MANPADA,forward,15.18
BHA1,96:00,99:30,TIKUJI NI WADI,forward,24.53
BHA1,99:30,103:0,DONGARI PADA,forward,23.98
BHA1,103:0,106:3,VIJAYGARDEN,forward,20.48
BHA1,106:3,110:0,KASARVADVALI,forward,27.71
BHA1,110:0,113:3,GOWNIWADA,forward,30.04
BHA1,113:3,117:0,GAIMUKH,forward,
BHA1,117:0,132:0,GAIMUKH,turnaround,
BHA2,15:00,18:30,BHAKTI PARK METRO,forward,20.29
BHA2,18:30,22:00,WADALA TT,forward,18.34
BHA2,22:00,25:30,ANIKNAGARBUSDEPOT,forward,33.03
