train_id,arrival_time,departure_time,station,direction,top_speed
BHA01,05:00,05:03,BHAKTI PARK METRO,forward,20.29
BHA01,05:03,05:07,WADALA TT,forward,18.34
BHA01,05:07,05:10,ANIKNAGARBUSDEPOT,forward,33.03
BHA01,05:10,05:14,SIDDHARTHCOLONY,forward,45.0
BHA01,05:14,05:17,GARODIA NAGAR,forward,33.24
BHA01,05:17,05:21,PANT NAGAR,forward,22.96
BHA01,05:21,05:24,LAXMINAGAR,forward,19.06
BHA01,05:24,05:28,SHREYAS CINEMA,forward,14.91
BHA01,05:28,05:31,GODREJ COMPANY,forward,14.19
BHA01,05:31,05:35,VIKHROLI METRO,forward,20.36
BHA01,05:35,05:38,SURYA NAGAR,forward,19.47
BHA01,05:38,05:42,GANDHINGAR,forward,14.94
BHA01,05:42,05:45,NAVAL HOUSING,forward,14.9
BHA01,05:45,05:49,BHANDUP MAHAPALIKA,forward,20.8
BHA01,05:49,05:52,BHANDUP METRO,forward,15.95
BHA01,05:52,05:56,SHANGRILLA,forward,29.09
BHA01,05:56,05:59,SONAPUR,forward,22.49
BHA01,05:59,06:03,MULUND FIRE STATION,forward,26.8
BHA01,06:03,06:06,MULUND NAKA,forward,24.24
BHA01,06:06,06:10,TEEN HAATH NAKA,forward,15.69
BHA01,06:10,06:13,RTO THANE,forward,19.3
BHA01,06:13,06:17,MAHAPALIKAMARG,forward,15.92
BHA01,06:17,06:20,CADBUARY JUNCTION,forward,16.49
BHA01,06:20,06:24,MAJIWADA,forward,28.91
BHA01,06:24,06:27,KAPURBAWDI,forward,16.32
BHA01,06:27,06:31,MANPADA,forward,15.18
BHA01,06:31,06:34,TIKUJI NI WADI,forward,24.53
BHA01,06:34,06:38,DONGARI PADA,forward,23.98
BHA01,06:38,06:41,VIJAYGARDEN,forward,20.48
BHA01,06:41,06:45,KASARVADVALI,forward,27.71
BHA01,06:45,06:48,GOWNIWADA,forward,30.04
BHA01,06:48,06:52,GAIMUKH,forward,
BHA01,06:52,07:07,GAIMUKH,turnaround,
BHA01,07:07,07:10,GAIMUKH,return,
BHA01,07:10,07:14,GOWNIWADA,return,30.04
BHA01,07:14,07:17,KASARVADVALI,return,27.71
BHA01,07:17,07:21,VIJAYGARDEN,return,20.48
BHA01,07:21,07:24,DONGARI PADA,return,23.98
BHA01,07:24,07:28,TIKUJI NI WADI,return,24.53
BHA01,07:28,07:31,MANPADA,return,15.18
BHA01,07:31,07:35,KAPURBAWDI,return,16.32
BHA01,07:35,07:38,MAJIWADA,return,28.91
BHA01,07:38,07:42,CADBUARY JUNCTION,return,16.49
BHA01,07:42,07:45,MAHAPALIKAMARG,return,15.92
BHA01,07:45,07:49,RTO THANE,return,19.3
BHA01,07:49,07:52,TEEN HAATH NAKA,return,15.69
BHA01,07:52,07:56,MULUND NAKA,return,24.24
BHA01,07:56,07:59,MULUND FIRE STATION,return,26.8
BHA01,07:59,08:03,SONAPUR,return,22.49
BHA01,08:03,08:06,SHANGRILLA,return,29.09
BHA01,08:06,08:10,BHANDUP METRO,return,15.95
BHA01,08:10,08:13,BHANDUP MAHAPALIKA,return,20.8
BHA01,08:13,08:17,NAVAL HOUSING,return,14.9
BHA01,08:17,08:20,GANDHINGAR,return,14.94
BHA01,08:20,08:24,SURYA NAGAR,return,19.47
BHA01,08:24,08:27,VIKHROLI METRO,return,20.36
BHA01,08:27,08:31,GODREJ COMPANY,return,14.19
BHA01,08:31,08:34,SHREYAS CINEMA,return,14.91
BHA01,08:34,08:38,LAXMINAGAR,return,19.06
BHA01,08:38,08:41,PANT NAGAR,return,22.96
BHA01,08:41,08:45,GARODIA NAGAR,return,33.24
BHA01,08:45,08:48,SIDDHARTHCOLONY,return,45.0
BHA01,08:48,08:52,ANIKNAGARBUSDEPOT,return,33.03
BHA01,08:52,08:55,WADALA TT,return,18.34
BHA01,08:55,08:59,BHAKTI PARK METRO,return,20.29
BHA01,08:59,09:14,BHAKTI PARK METRO,turnaround,
BHA01,09:14,09:17,BHAKTI PARK METRO,forward,20.29
BHA01,09:17,09:21,WADALA TT,forward,18.34
BHA01,09:21,09:24,ANIKNAGARBUSDEPOT,forward,33.03
BHA01,09:24,09:28,SIDDHARTHCOLONY,forward,45.0
BHA01,09:28,09:31,GARODIA NAGAR,forward,33.24
BHA01,09:31,09:35,PANT NAGAR,forward,22.96
BHA01,09:35,09:38,LAXMINAGAR,forward,19.06
BHA01,09:38,09:42,SHREYAS CINEMA,forward,14.91
BHA01,09:42,09:45,GODREJ COMPANY,forward,14.19
BHA01,09:45,09:49,VIKHROLI METRO,forward,20.36
BHA01,09:49,09:52,SURYA NAGAR,forward,19.47
BHA01,09:52,09:56,GANDHINGAR,forward,14.94
BHA01,09:56,09:59,NAVAL HOUSING,forward,14.9
BHA01,09:59,10:03,BHANDUP MAHAPALIKA,forward,20.8
BHA01,10:03,10:06,BHANDUP METRO,forward,15.95
BHA01,10:06,10:10,SHANGRILLA,forward,29.09
BHA01,10:10,10:13,SONAPUR,forward,22.49
BHA01,10:13,10:17,MULUND FIRE STATION,forward,26.8
BHA01,10:17,10:20,MULUND NAKA,forward,24.24
BHA01,10:20,10:24,TEEN HAATH NAKA,forward,15.69
BHA01,10:24,10:27,RTO THANE,forward,19.3
BHA01,10:27,10:31,MAHAPALIKAMARG,forward,15.92
BHA01,10:31,10:34,CADBUARY JUNCTION,forward,16.49
BHA01,10:34,10:38,MAJIWADA,forward,28.91
BHA01,10:38,10:41,KAPURBAWDI,forward,16.32
BHA01,10:41,10:45,MANPADA,forward,15.18
BHA01,10:45,10:48,TIKUJI NI WADI,forward,24.53
BHA01,10:48,10:52,DONGARI PADA,forward,23.98
BHA01,10:52,10:55,VIJAYGARDEN,forward,20.48
BHA01,10:55,10:59,KASARVADVALI,forward,27.71
BHA01,10:59,11:02,GOWNIWADA,forward,30.04
BHA01,11:02,11:06,GAIMUKH,forward,
BHA01,11:06,11:21,GAIMUKH,turnaround,
BHA01,11:21,11:24,GAIMUKH,return,
BHA01,11:24,11:28,GOWNIWADA,return,30.04
BHA01,11:28,11:31,KASARVADVALI,return,27.71
BHA01,11:31,11:35,VIJAYGARDEN,return,20.48
BHA01,11:35,11:38,DONGARI PADA,return,23.98
BHA01,11:38,11:42,TIKUJI NI WADI,return,24.53
BHA01,11:42,11:45,MANPADA,return,15.18
BHA01,11:45,11:49,KAPURBAWDI,return,16.32
BHA01,11:49,11:52,MAJIWADA,return,28.91
BHA01,11:52,11:56,CADBUARY JUNCTION,return,16.49
BHA01,11:56,11:59,MAHAPALIKAMARG,return,15.92
BHA01,11:59,12:03,RTO THANE,return,19.3
BHA01,12:03,12:06,TEEN HAATH NAKA,return,15.69
BHA01,12:06,12:10,MULUND NAKA,return,24.24
BHA01,12:10,12:13,MULUND FIRE STATION,return,26.8
BHA01,12:13,12:17,SONAPUR,return,22.49
BHA01,12:17,12:20,SHANGRILLA,return,29.09
BHA01,12:20,12:24,BHANDUP METRO,return,15.95
BHA01,12:24,12:27,BHANDUP MAHAPALIKA,return,20.8
BHA01,12:27,12:31,NAVAL HOUSING,return,14.9
BHA01,12:31,12:34,GANDHINGAR,return,14.94
BHA01,12:34,12:38,SURYA NAGAR,return,19.47
BHA01,12:38,12:41,VIKHROLI METRO,return,20.36
BHA01,12:41,12:45,GODREJ COMPANY,return,14.19
BHA01,12:45,12:48,SHREYAS CINEMA,return,14.91
BHA01,12:48,12:52,LAXMINAGAR,return,19.06
BHA01,12:52,12:55,PANT NAGAR,return,22.96
BHA01,12:55,12:59,GARODIA NAGAR,return,33.24
BHA01,12:59,13:02,SIDDHARTHCOLONY,return,45.0
BHA01,13:02,13:06,ANIKNAGARBUSDEPOT,return,33.03
BHA01,13:06,13:09,WADALA TT,return,18.34
BHA01,13:09,13:13,BHAKTI PARK METRO,return,20.29
BHA01,13:13,13:28,BHAKTI PARK METRO,turnaround,
BHA01,13:28,13:31,BHAKTI PARK METRO,forward,20.29
BHA01,13:31,13:35,WADALA TT,forward,18.34
BHA01,13:35,13:38,ANIKNAGARBUSDEPOT,forward,33.03
BHA01,13:38,13:42,SIDDHARTHCOLONY,forward,45.0
BHA01,13:42,13:45,GARODIA NAGAR,forward,33.24
BHA01,13:45,13:49,PANT NAGAR,forward,22.96
BHA01,13:49,13:52,LAXMINAGAR,forward,19.06
BHA01,13:52,13:56,SHREYAS CINEMA,forward,14.91
BHA01,13:56,13:59,GODREJ COMPANY,forward,14.19
BHA01,13:59,14:03,VIKHROLI METRO,forward,20.36
BHA01,14:03,14:06,SURYA NAGAR,forward,19.47
BHA01,14:06,14:10,GANDHINGAR,forward,14.94
BHA01,14:10,14:13,NAVAL HOUSING,forward,14.9
BHA01,14:13,14:17,BHANDUP MAHAPALIKA,forward,20.8
BHA01,14:17,14:20,BHANDUP METRO,forward,15.95
BHA01,14:20,14:24,SHANGRILLA,forward,29.09
BHA01,14:24,14:27,SONAPUR,forward,22.49
BHA01,14:27,14:31,MULUND FIRE STATION,forward,26.8
BHA01,14:31,14:34,MULUND NAKA,forward,24.24
BHA01,14:34,14:38,TEEN HAATH NAKA,forward,15.69
BHA01,14:38,14:41,RTO THANE,forward,19.3
BHA01,14:41,14:45,MAHAPALIKAMARG,forward,15.92
BHA01,14:45,14:48,CADBUARY JUNCTION,forward,16.49
BHA01,14:48,14:52,MAJIWADA,forward,28.91
BHA01,14:52,14:55,KAPURBAWDI,forward,16.32
BHA01,14:55,14:59,MANPADA,forward,15.18
BHA01,14:59,15:02,TIKUJI NI WADI,forward,24.53
BHA01,15:02,15:06,DONGARI PADA,forward,23.98
BHA01,15:06,15:09,VIJAYGARDEN,forward,20.48
BHA01,15:09,15:13,KASARVADVALI,forward,27.71
BHA01,15:13,15:16,GOWNIWADA,forward,30.04
BHA01,15:16,15:20,GAIMUKH,forward,
BHA01,15:20,15:35,GAIMUKH,turnaround,
BHA01,15:35,15:38,GAIMUKH,return,
BHA01,15:38,15:42,GOWNIWADA,return,30.04
BHA01,15:42,15:45,KASARVADVALI,return,27.71
BHA01,15:45,15:49,VIJAYGARDEN,return,20.48
BHA01,15:49,15:52,DONGARI PADA,return,23.98
BHA01,15:52,15:56,TIKUJI NI WADI,return,24.53
BHA01,15:56,15:59,MANPADA,return,15.18
BHA01,15:59,16:03,KAPURBAWDI,return,16.32
BHA01,16:03,16:06,MAJIWADA,return,28.91
BHA01,16:06,16:10,CADBUARY JUNCTION,return,16.49
BHA01,16:10,16:13,MAHAPALIKAMARG,return,15.92
BHA01,16:13,16:17,RTO THANE,return,19.3
BHA01,16:17,16:20,TEEN HAATH NAKA,return,15.69
BHA01,16:20,16:24,MULUND NAKA,return,24.24
BHA01,16:24,16:27,MULUND FIRE STATION,return,26.8
BHA01,16:27,16:31,SONAPUR,return,22.49
BHA01,16:31,16:34,SHANGRILLA,return,29.09
BHA01,16:34,16:38,BHANDUP METRO,return,15.95
BHA01,16:38,16:41,BHANDUP MAHAPALIKA,return,20.8
BHA01,16:41,16:45,NAVAL HOUSING,return,14.9
BHA01,16:45,16:48,GANDHINGAR,return,14.94
BHA01,16:48,16:52,SURYA NAGAR,return,19.47
BHA01,16:52,16:55,VIKHROLI METRO,return,20.36
BHA01,16:55,16:59,GODREJ COMPANY,return,14.19
BHA01,16:59,17:02,SHREYAS CINEMA,return,14.91
BHA01,17:02,17:06,LAXMINAGAR,return,19.06
BHA01,17:06,17:09,PANT NAGAR,return,22.96
BHA01,17:09,17:13,GARODIA NAGAR,return,33.24
BHA01,17:13,17:16,SIDDHARTHCOLONY,return,45.0
BHA01,17:16,17:20,ANIKNAGARBUSDEPOT,return,33.03
BHA01,17:20,17:23,WADALA TT,return,18.34
BHA01,17:23,17:27,BHAKTI PARK METRO,return,20.29
BHA01,17:27,17:42,BHAKTI PARK METRO,turnaround,
