From,To,Distance(m),RunTime(s),AverageSpeed(km/h)
BHAKTI PARK METRO,WADALA TT,1014.37,130.319,28.0215
WADALA TT,ANIKNAGARBUSDEPOT,916.806,117.63,28.0582
ANIKNAGARBUSDEPOT,SIDDHARTHCOLONY,1651.48,211.871,28.0611
SIDDHARTHCOLONY,GARODIA NAGAR,2421.41,308.596,28.2475
GARODIA NAGAR,PANT NAGAR,1662.15,213.222,28.0634
PANT NAGAR,LAXMINAGAR,1148.17,147.615,28.0014
LAXMINAGAR,SHREYAS CINEMA,952.884,122.331,28.0419
SHREYAS CINEMA,GODREJ COMPANY,745.313,110.989,24.1748
GODREJ COMPANY,VIKHROLI METRO,709.649,105.487,24.2185
VIKHROLI METRO,SURYA NAGAR,1017.76,130.759,28.0206
SURYA NAGAR,GANDHINAGAR,973.585,125.023,28.034
#Total running distance:,13213.6
#Total run time (s):,1723.84
#Average speed (km/h):,27.5947
