From,To,Distance(m),RunTime(s),DwellTime(s),TotalSectionTime(s),AverageSpeed(km/h),SafeHeadway(s)
GAIMUKH,GOWNIWADA,1502.229,198.26677187577172,180,378.2667718757717,27.276504019485994,20.571428571428573
GOWNIWADA,KASARVADVALI,1385.394,183.16564070010105,30,213.16564070010105,27.22900638425932,20.571428571428573
KASARVADVALI,VIJAYGARDEN,1024.036,135.98188713777216,30,165.98188713777216,27.110445939501748,20.571428571428573
VIJAYGARDEN,DONGARI PADA,1198.778,158.89978142538405,30,188.89978142538405,27.159262028478715,20.571428571428573
DONGARI PADA,TIKUJI NI WADI,1226.694,162.54233140062237,30,192.54233140062237,27.168912626923788,20.571428571428573
TIKUJI NI WADI,MANPADA,758.992,117.52369132407298,30,147.52369132407298,23.249535214695168,24.0
MANPADA,KAPURBAWDI,815.824,108.35262815848145,30,138.35262815848145,27.10563139921498,20.571428571428573
KAPURBAWDI,MAJIWADA,1453.707,192.00296288927063,30,222.00296288927063,27.256585634139952,20.571428571428573
MAJIWADA,CADBUARY JUNCTION,824.707,109.54002837027068,180,289.54002837027065,27.10374686013662,20.571428571428573
#Total running distance:,10190.360999999999
#Total run time (s):,1366.275723281747
#Total dwell time (s):,750.0
#Overall headway for 7 trains (min):,10.077503444198795
