Train ID: BPM1, Arrival: 05:00, Departure: 05:30, Station: BHAKTI PARK METRO, Direction: UP, Top Speed: 35
Train ID: BPM1, Arrival: 07:14, Departure: 07:44, Station: WADALA TT, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 07:33, Departure: 08:03, Station: ANIKNAGARBUSDEPOT, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 09:31, Departure: 10:01, Station: SIDDHARTHCOLONY, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 11:33, Departure: 12:03, Station: GARODIA NAGAR, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 10:32, Departure: 11:02, Station: PANT NAGAR, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 10:01, Departure: 10:31, Station: LAXMINAGAR, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 10:08, Departure: 10:38, Station: SHREYAS CINEMA, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 10:14, Departure: 10:44, Station: GODREJ COMPANY, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 10:40, Departure: 11:10, Station: VIKHROLI METRO, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 11:46, Departure: 12:16, Station: SURYA NAGAR, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 11:44, Departure: 12:44, Station: GANDHINAGAR, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 12:44, Departure: 13:14, Station: NAVAL HOUSING, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 13:49, Departure: 14:19, Station: BHANDUP MAHAPALIKA, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 13:50, Departure: 14:20, Station: BHANDUP METRO, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 15:38, Departure: 16:08, Station: SHANGRILLA, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 15:29, Departure: 15:59, Station: SONAPUR, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 16:24, Departure: 16:54, Station: MULUND FIRE STATION, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 16:39, Departure: 17:09, Station: MULUND NAKA, Direction: UP, Top Speed: 30
Train ID: BPM1, Arrival: 16:18, Departure: 16:48, Station: TEEN HAATH NAKA, Direction: UP, Top Speed: 30
